Date,Time,Temperature,Humidity,co,ch4,pm2.5
10/26/2021,11:17:23 PM,30.5,84,6016,8384,557.71
10/26/2021,11:17:18 PM,30.4,84,6112,8480,318.65
10/26/2021,11:17:13 PM,30.4,84,6112,8544,451.46
10/26/2021,11:17:08 PM,30.4,84,6208,8736,464.74
10/26/2021,11:17:02 PM,30.4,84,6208,8704,517.87
10/26/2021,11:16:57 PM,30.4,84,6208,8672,358.49
10/26/2021,11:16:52 PM,30.4,84,6128,8480,345.21
10/26/2021,11:16:47 PM,30.4,84,6064,8336,424.9
10/26/2021,11:16:42 PM,30.3,84,6144,8352,411.62
10/26/2021,11:16:36 PM,30.4,84,6080,8320,597.56
10/26/2021,11:16:31 PM,30.4,84,6112,8400,371.77
10/26/2021,11:16:26 PM,30.4,84,6128,8448,451.46
10/26/2021,11:16:21 PM,30.4,84,6176,8464,358.49
10/26/2021,11:16:16 PM,30.3,84,6192,8448,517.87
10/26/2021,11:16:11 PM,30.4,84,6144,8464,478.02
10/26/2021,11:16:06 PM,30.4,84,6112,8384,358.49
10/26/2021,11:16:00 PM,30.4,84,6080,8384,424.9
10/26/2021,11:15:55 PM,30.3,84,6144,8464,345.21
10/26/2021,11:15:50 PM,30.4,84,6160,8432,424.9
10/26/2021,11:15:45 PM,30.4,84,6160,8400,398.34
10/26/2021,11:15:40 PM,30.4,84,6224,8448,544.43
10/26/2021,11:15:34 PM,30.4,84,6176,8432,438.18
10/26/2021,11:15:29 PM,30.4,84,6288,8528,411.62
10/26/2021,11:15:23 PM,30.4,84,6304,8560,305.37
10/26/2021,11:15:18 PM,30.4,84,6304,8512,504.59
10/26/2021,11:15:13 PM,30.4,84,6272,8496,331.93
10/26/2021,11:15:08 PM,30.4,84,6192,8400,385.06
10/26/2021,11:15:03 PM,30.4,84,6192,8432,292.09
10/26/2021,11:14:58 PM,30.4,84,6192,8464,411.62
10/26/2021,11:14:52 PM,30.4,84,6224,8496,438.18
10/26/2021,11:14:47 PM,30.4,85,6288,8576,491.31
10/26/2021,11:14:42 PM,30.4,85,6304,8560,385.06
10/26/2021,11:14:37 PM,30.4,84,6304,8576,597.56
10/26/2021,11:14:32 PM,30.4,85,6336,8576,517.87
10/26/2021,11:14:26 PM,30.4,85,6352,8608,318.65
10/26/2021,11:14:21 PM,30.4,85,6384,8624,411.62
10/26/2021,11:14:16 PM,30.4,85,6368,8576,650.68
10/26/2021,11:14:11 PM,30.4,85,6384,8624,424.9
10/26/2021,11:14:06 PM,30.4,85,6368,8560,385.06
10/26/2021,11:14:00 PM,30.4,85,6384,8576,624.12
10/26/2021,11:13:55 PM,30.4,85,6368,8544,438.18
10/26/2021,11:13:50 PM,30.4,85,6336,8480,305.37
10/26/2021,11:13:45 PM,30.4,85,6384,8576,663.96
10/26/2021,11:13:40 PM,30.4,85,6416,8624,424.9
10/26/2021,11:13:34 PM,30.4,85,6384,8544,570.99
10/26/2021,11:13:29 PM,30.4,85,6448,8624,305.37
10/26/2021,11:13:24 PM,30.4,85,6384,8528,424.9
10/26/2021,11:13:19 PM,30.4,85,6464,8592,424.9
10/26/2021,11:13:14 PM,30.4,85,6464,8640,504.59
10/26/2021,11:13:09 PM,30.3,85,6448,8624,331.93
10/26/2021,11:13:04 PM,30.3,85,6496,8672,345.21
10/26/2021,11:12:59 PM,30.3,85,6496,8640,371.77
10/26/2021,11:12:53 PM,30.3,85,6528,8640,411.62
10/26/2021,11:12:48 PM,30.3,85,6528,8640,491.31
10/26/2021,11:12:43 PM,30.3,85,6576,8688,292.09
10/26/2021,11:12:38 PM,30.3,85,6576,8656,318.65
10/26/2021,11:12:33 PM,30.4,85,6608,8688,318.65
10/26/2021,11:12:27 PM,30.3,85,6560,8608,451.46
10/26/2021,11:12:22 PM,30.3,85,6576,8640,478.02
10/26/2021,11:12:16 PM,30.3,85,6544,8576,504.59
10/26/2021,11:12:11 PM,30.3,85,6576,8608,451.46
10/26/2021,11:12:06 PM,30.3,85,6560,8608,398.34
10/26/2021,11:12:00 PM,30.3,85,6608,8688,305.37
10/26/2021,11:11:55 PM,30.3,85,6672,8704,531.15
10/26/2021,11:11:49 PM,30.3,85,6656,8672,358.49
10/26/2021,11:11:43 PM,30.3,85,6704,8704,597.56
10/26/2021,11:11:38 PM,30.3,85,6640,8608,371.77
10/26/2021,11:11:32 PM,30.3,85,6704,8640,438.18
10/26/2021,11:11:27 PM,30.2,85,6640,8608,464.74
10/26/2021,11:11:22 PM,30.2,85,6688,8656,371.77
10/26/2021,11:11:16 PM,30.2,85,6752,8720,570.99
10/26/2021,11:11:11 PM,30.2,85,6736,8640,385.06
10/26/2021,11:11:06 PM,30.3,85,6752,8640,544.43
10/26/2021,11:10:59 PM,30.3,85,6768,8672,371.77
10/26/2021,11:10:54 PM,30.2,85,6736,8608,345.21
10/26/2021,11:10:49 PM,30.2,85,6816,8656,438.18
10/26/2021,11:10:43 PM,30.3,85,6784,8592,491.31
10/26/2021,11:10:38 PM,30.3,85,6752,8608,385.06
10/26/2021,11:10:33 PM,30.3,85,6720,8592,451.46
10/26/2021,11:10:27 PM,30.3,85,6800,8640,411.62
10/26/2021,11:10:22 PM,30.3,85,6832,8672,371.77
10/26/2021,11:10:17 PM,30.3,85,6832,8672,491.31
